tube.ID,Timepoint,Date,Year,Time,Treatment,Temp,Cone,Culture,Family,ReefMom,Mom,Dad,Species,tube.ID,Replicate,CrossType,Lifestage,SymbiontTreatment,Dataform,Cumulative.hrs,Mom2,Dad2,Cross,Cross_2,No.LarvaeInStart,No.LarvaeInExpected,No.LarvaeInObserved,Percent_Survival_atend,"Alive, Dead, Sampled",Infected? (Y or N),No.Cells1,No.Cells2,No.Cells3,PAM(EffectiveQuant),Area (mm^2),MicroscopeImageName,PAM File Name,Date Sampled,Settlement
23,0,2024-04-10,2024,15:00,Ambient,27.5,18,Bulk1,F4,Bulk,Bulk,Bulk,A.ten,23,C,BulkCross,larvae,D,,0,TantMom,TantDad,TantMomTantDad,TxT,25,25,25,100,Alive,N,0,0,0,,,NA,NA,,
24,0,2024-04-10,2024,15:00,Ambient,27.5,18,Bulk1,F4,Bulk,Bulk,Bulk,A.ten,24,A,BulkCross,larvae,C,,0,TantMom,TantDad,TantMomTantDad,TxT,25,25,25,100,Alive,N,0,0,0,,,NA,NA,,
25,0,2024-04-10,2024,15:00,Ambient,27.5,10,T.T.6xT.T.12,F2,TT6,TT6,TT12,A.ten,25,C,IndivCross,larvae,C,,0,TantMom,TantDad,TantMomTantDad,TxT,25,25,25,100,Alive,N,0,0,0,,,NA,NA,,
26,0,2024-04-10,2024,15:00,Ambient,27.5,6,B.T.2xB.T.4,F10,BT2,BT2,BT4,A.ten,26,B,IndivCross,larvae,D,,0,BruMom,BruDad,BruMomBruDad,BxB,25,25,25,100,Alive,N,0,0,0,,,NA,NA,,
27,0,2024-04-10,2024,15:00,Ambient,27.5,7,B.T.4xB.T.2,F6,BT4,BT4,BT2,A.ten,27,C,IndivCross,larvae,C,,0,BruMom,BruDad,BruMomBruDad,BxB,25,25,25,100,Alive,N,0,0,0,,,NA,NA,,
28,0,2024-04-10,2024,15:00,Ambient,27.5,2,T.T.12xT.T.6,F1,TT12,TT12,TT6,A.ten,28,C,IndivCross,larvae,C,,0,TantMom,TantDad,TantMomTantDad,TxT,25,25,25,100,Alive,N,0,0,0,,,NA,NA,,
29,0,2024-04-10,2024,15:00,Ambient,27.5,7,B.T.4xB.T.2,F6,BT4,BT4,BT2,A.ten,29,B,IndivCross,larvae,D,,0,BruMom,BruDad,BruMomBruDad,BxB,25,25,25,100,Alive,N,0,0,0,,,NA,NA,,
30,0,2024-04-10,2024,15:00,Ambient,27.5,7,B.T.4xB.T.2,F6,BT4,BT4,BT2,A.ten,30,B,IndivCross,larvae,C,,0,BruMom,BruDad,BruMomBruDad,BxB,25,25,25,100,Alive,N,0,0,0,,,NA,NA,,
31,0,2024-04-10,2024,15:00,Ambient,27.5,13,T.T.2xT.T.4,F3,TT2,TT2,TT4,A.ten,31,B,IndivCross,larvae,D,,0,TantMom,TantDad,TantMomTantDad,TxT,25,25,25,100,Alive,N,0,0,0,,,NA,NA,,
32,0,2024-04-10,2024,15:00,Ambient,27.5,6,B.T.2xB.T.4,F10,BT2,BT2,BT4,A.ten,32,C,IndivCross,larvae,D,,0,BruMom,BruDad,BruMomBruDad,BxB,25,25,25,100,Alive,N,0,0,0,,,NA,NA,,
33,0,2024-04-10,2024,15:00,Ambient,27.5,6,B.T.2xB.T.4,F10,BT2,BT2,BT4,A.ten,33,B,IndivCross,larvae,C,,0,BruMom,BruDad,BruMomBruDad,BxB,25,25,25,100,Alive,N,0,0,0,,,NA,NA,,
34,0,2024-04-10,2024,15:00,Ambient,27.5,13,T.T.2xT.T.4,F3,TT2,TT2,TT4,A.ten,34,C,IndivCross,larvae,D,,0,TantMom,TantDad,TantMomTantDad,TxT,25,25,25,100,Alive,N,0,0,0,,,NA,NA,,
35,0,2024-04-10,2024,15:00,Ambient,27.5,13,T.T.2xT.T.4,F3,TT2,TT2,TT4,A.ten,35,A,IndivCross,larvae,C,,0,TantMom,TantDad,TantMomTantDad,TxT,25,25,25,100,Alive,N,0,0,0,,,NA,NA,,
36,0,2024-04-10,2024,15:00,Ambient,27.5,7,B.T.4xB.T.2,F6,BT4,BT4,BT2,A.ten,36,A,IndivCross,larvae,C,,0,BruMom,BruDad,BruMomBruDad,BxB,25,25,25,100,Alive,N,0,0,0,,,NA,NA,,
37,0,2024-04-10,2024,15:00,Ambient,27.5,9,B.T.8xB.T.2,F7,BT8,BT8,BT2,A.ten,37,C,IndivCross,larvae,D,,0,BruMom,BruDad,BruMomBruDad,BxB,25,25,25,100,Alive,N,0,0,0,,,NA,NA,,
38,0,2024-04-10,2024,15:00,Ambient,27.5,6,B.T.2xB.T.4,F10,BT2,BT2,BT4,A.ten,38,A,IndivCross,larvae,D,,0,BruMom,BruDad,BruMomBruDad,BxB,25,25,25,100,Alive,N,0,0,0,,,NA,NA,,
39,0,2024-04-10,2024,15:00,Ambient,27.5,6,B.T.2xB.T.4,F10,BT2,BT2,BT4,A.ten,39,C,IndivCross,larvae,C,,0,BruMom,BruDad,BruMomBruDad,BxB,25,25,25,100,Alive,N,0,0,0,,,NA,NA,,
40,0,2024-04-10,2024,15:00,Ambient,27.5,10,T.T.6xT.T.12,F2,TT6,TT6,TT12,A.ten,40,B,IndivCross,larvae,C,,0,TantMom,TantDad,TantMomTantDad,TxT,25,25,25,100,Alive,N,0,0,0,,,NA,NA,,
