TIMEPOINT,FOLDER,FILENAME,VIAL,REP,POINT,TEMP,SYMBIONT_TREATMENT,AVERAGE_FvFm,PAR,F,FvFm,Fm',Fo,Y(ii),Y(NPQ),Y(NO),NPQ,qN,qP,qL,ETR,Abs,lnh
1,11.4.24,T1V19-24,23,1,9,27.5,D,,0,0.0836,0.127348643,0.0958,0.0836,0.128,0,0.872,0,0,1,1,0,0,-1.823
1,11.4.24,T1V19-24,24,1,10,27.5,C,0.177976593,0,0.1002,0.202229299,0.1256,0.1002,0.202,0,0.798,0,0,1,1,0,0,-3.478
1,11.4.24,T1V19-24,24,2,11,27.5,C,,0,0.0753,0.213987474,0.0958,0.0753,0.214,0,0.786,0,0,1,1,0,0,-3.743
1,11.4.24,T1V19-24,24,3,12,27.5,C,,0,0.1574,0.117713004,0.1784,0.1574,0.118,0,0.882,0,0,1,1,0,0,-1.607
1,11.4.24,T1V25-30,25,1,1,27.5,C,,0,0.1681,0.173143138,0.2033,0.1681,0.173,0,0.827,0,0,1,1,0,0,0
1,11.4.24,T1V25-30,26,1,2,27.5,D,,0,0.1124,0.119122257,0.1276,0.1124,0.119,0,0.881,0,0,1,1,0,0,0.314
1,11.4.24,T1V25-30,27,1,3,27.5,C,0.388478864,0,0.1041,0.362132353,0.1632,0.1041,0.362,0,0.638,0,0,1,1,0,0,-1.093
1,11.4.24,T1V25-30,27,2,4,27.5,C,,0,0.0821,0.414825374,0.1403,0.0821,0.415,0,0.585,0,0,1,1,0,0,-1.396
1,11.4.24,T1V25-30,28,1,5,27.5,C,0.329291226,0,0.1232,0.168129642,0.1481,0.1232,0.168,0,0.832,0,0,1,1,0,0,0.028
1,11.4.24,T1V25-30,28,2,6,27.5,C,,0,0.0934,0.49045281,0.1833,0.0934,0.491,0,0.509,0,0,1,1,0,0,-1.835
1,11.4.24,T1V25-30,29,1,7,27.5,D,0.213163406,0,0.173,0.169068204,0.2082,0.173,0.169,0,0.831,0,0,1,1,0,0,0.023
1,11.4.24,T1V25-30,29,2,8,27.5,D,,0,0.11,0.257258609,0.1481,0.11,0.257,0,0.743,0,0,1,1,0,0,-0.487
1,11.4.24,T1V25-30,30,1,9,27.5,C,0.182457903,0,0.0987,0.257336343,0.1329,0.0987,0.257,0,0.743,0,0,1,1,0,0,-0.487
1,11.4.24,T1V25-30,30,2,10,27.5,C,,0,0.1095,0.107579462,0.1227,0.1095,0.108,0,0.892,0,0,1,1,0,0,0.378
1,11.4.24,T1V31-36,31,1,1,27.5,D,,0,0.1129,0.19241774,0.1398,0.1129,0.192,0,0.808,0,0,1,1,0,0,0
1,11.4.24,T1V31-36,32,1,NA,27.5,D,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,11.4.24,T1V31-36,33,1,NA,27.5,C,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,11.4.24,T1V31-36,34,1,2,27.5,D,,0,0.0963,0.053097345,0.1017,0.0963,0.053,0,0.947,0,0,1,1,0,0,0.725
1,11.4.24,T1V31-36,35,1,3,27.5,C,0.137294921,0,0.1051,0.129246065,0.1207,0.1051,0.13,0,0.87,0,0,1,1,0,0,0.326
1,11.4.24,T1V31-36,35,2,4,27.5,C,,0,0.0982,0.145343777,0.1149,0.0982,0.145,0,0.855,0,0,1,1,0,0,0.248
1,11.4.24,T1V31-36,36,1,5,27.5,C,0.283571269,0,0.0938,0.372994652,0.1496,0.0938,0.373,0,0.627,0,0,1,1,0,0,-0.937
1,11.4.24,T1V31-36,36,2,6,27.5,C,,0,0.0987,0.252272727,0.132,0.0987,0.252,0,0.748,0,0,1,1,0,0,-0.31
1,11.4.24,T1V31-36,36,3,7,27.5,C,,0,0.1041,0.225446429,0.1344,0.1041,0.225,0,0.775,0,0,1,1,0,0,-0.172
1,11.4.24,T1V37-42,37,1,1,27.5,D,0.428521714,0,0.1256,0.517850288,0.2605,0.1256,0.518,0,0.482,0,0,1,1,0,0,0
1,11.4.24,T1V37-42,37,2,2,27.5,D,,0,0.1398,0.506878307,0.2835,0.1398,0.507,0,0.493,0,0,1,1,0,0,0.021
1,11.4.24,T1V37-42,37,3,3,27.5,D,,0,0.1383,0.319724545,0.2033,0.1383,0.32,0,0.68,0,0,1,1,0,0,0.383
1,11.4.24,T1V37-42,37,4,4,27.5,D,,0,0.1701,0.376237624,0.2727,0.1701,0.376,0,0.624,0,0,1,1,0,0,0.273
1,11.4.24,T1V37-42,37,5,5,27.5,D,,0,0.1266,0.421917808,0.219,0.1266,0.422,0,0.578,0,0,1,1,0,0,0.185
1,11.4.24,T1V37-42,38,1,NA,27.5,D,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,11.4.24,T1V37-42,39,1,6,27.5,C,,0,0.0865,0.283347142,0.1207,0.0865,0.283,0,0.717,0,0,1,1,0,0,0.453
1,11.4.24,T1V37-42,40,1,7,27.5,C,,0,0.0753,0.233197556,0.0982,0.0753,0.234,0,0.766,0,0,1,1,0,0,0.548
1,11.4.24,T1V37-42,41,1,8,27.5,D,0.348760331,0,0.0855,0.411157025,0.1452,0.0855,0.411,0,0.589,0,0,1,1,0,0,0.207
1,11.4.24,T1V37-42,41,2,9,27.5,D,,0,0.1256,0.286363636,0.176,0.1256,0.286,0,0.714,0,0,1,1,0,0,0.447
1,11.4.24,T1V37-42,42,1,10,27.5,D,0.366293944,0,0.1051,0.568200493,0.2434,0.1051,0.568,0,0.432,0,0,1,1,0,0,-0.097
1,11.4.24,T1V37-42,42,2,11,27.5,D,,0,0.1378,0.22102883,0.1769,0.1378,0.221,0,0.779,0,0,1,1,0,0,0.573
1,11.4.24,T1V37-42,42,3,12,27.5,D,,0,0.0894,0.30965251,0.1295,0.0894,0.309,0,0.691,0,0,1,1,0,0,0.402
1,11.4.24,T2V1-6,1,1,1,31,D,0.197261536,0,0.2146,0.341717791,0.326,0.2146,0.342,0,0.658,0,0,1,1,0,0,0
1,11.4.24,T2V1-6,1,2,2,31,D,,0,0.2009,0.052805281,0.2121,0.2009,0.053,0,0.947,0,0,1,1,0,0,0.845
1,11.4.24,T2V1-6,2,1,NA,31,C,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,11.4.24,T2V1-6,3,1,NA,31,D,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,11.4.24,T2V1-6,4,1,NA,31,D,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,11.4.24,T2V1-6,5,1,NA,31,D,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,11.4.24,T2V1-6,6,1,1,31,C,,0,0.1227,0.270077335,0.1681,0.1227,0.27,0,0.73,0,0,1,1,0,0,0.209
1,11.4.24,T2V7-12,7,1,NA,31,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,11.4.24,T2V7-12,8,1,1,31,,0.297886139,0,0.2234,0.224036124,0.2879,0.2234,0.224,0,0.776,0,0,1,1,0,0,0
1,11.4.24,T2V7-12,8,2,2,31,,,0,0.1369,0.223922902,0.1764,0.1369,0.224,0,0.776,0,0,1,1,0,0,-0.001
1,11.4.24,T2V7-12,8,3,3,31,,,0,0.1276,0.445699392,0.2302,0.1276,0.446,0,0.554,0,0,1,1,0,0,-0.989
1,11.4.24,T2V7-12,9,1,4,31,,,0,0.1012,0.283793347,0.1413,0.1012,0.284,0,0.716,0,0,1,1,0,0,-0.266
1,11.4.24,T2V7-12,10,1,5,31,,,0,0.2493,0.154054971,0.2947,0.2493,0.154,0,0.846,0,0,1,1,0,0,0.312
